configuration,precision_at_5,precision_at_10,recall_at_10,f1_at_10,average_precision,reciprocal_rank,ndcg_at_10,latency_ms
tfidf,0.9199999999999999,0.905,0.048789684183446605,0.08866090642266439,0.3061509895280124,0.95,0.9114756595132667,1.0591456999463844
bm25,0.9199999999999999,0.9,0.04885626998059987,0.08879317675167978,0.30545053793670046,0.95,0.9123196113690488,1.2463228504202561
bm25_spelling,0.97,0.9550000000000001,0.05250767342102405,0.09561052496553554,0.3422733082874064,1.0,0.9653466952135009,43.34759800021857
bm25_expansion,0.8800000000000001,0.8150000000000001,0.04251461891530194,0.07735036354692885,0.19548692809317256,0.925,0.8399428401595636,3.799083299963968
bm25_spelling_expansion,0.95,0.8550000000000001,0.04508688566507864,0.08215428894199268,0.2057043621191846,0.975,0.8865238665896715,44.46896249974088
